Artist,Title,Album,Air Time,Duration,Letter,First Word,Year
Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),Let Me Into Your Life,2023-12-11 12:56:55,3,U,Until,1974
The Pretenders,Precious,Pretenders,2023-12-11 13:00:41,3,P,Precious,1981
Dionne Warwick,I Say A Little Prayer,The Windows Of The World,2023-12-11 13:04:11,4,I,I,1969
Carole King,Tapestry,Tapestry,2023-12-11 13:09:06,3,T,Tapestry,1971
Fleetwood Mac,Sara,Tusk,2023-12-11 13:12:12,4,S,Sara,1979
Sade,Smooth Operator,Diamond Life,2023-12-11 13:16:41,4,S,Smooth,1984
Sheryl Crow,If It Makes You Happy,Sheryl Crow,2023-12-11 13:21:31,6,I,If,1997
Alanis Morissette,Ironic,Jagged Little Pill,2023-12-11 13:28:12,3,I,Ironic,1995
Kate Bush,Hounds Of Love,Hounds Of Love,2023-12-11 13:31:49,3,H,Hounds,1982
Nina Simone,I Put A Spell On You,The Best Of Nina Simone,2023-12-11 13:34:56,4,I,I,1993
Joan Armatrading,The Weakness In Me,Walk Under Ladders,2023-12-11 13:39:00,3,T,The,1981
Eurythmics,Would I Lie To You?,Be Yourself Tonight,2023-12-11 13:42:29,4,W,Would,1985
Laura Nyro,Stoned Soul Picnic,Eli And The 13th Confession,2023-12-11 13:46:47,4,S,Stoned,1968
Tracy Chapman,Give Me One Reason,New Beginning,2023-12-11 13:51:32,4,G,Give,1995
Concrete Blonde,Joey,Bloodletting,2023-12-11 13:55:55,4,J,Joey,1990
Joan Osborne,One Of Us,Relish,2023-12-11 14:00:26,4,O,One,1995
Norah Jones,Don't Know Why,Come Away With Me,2023-12-11 14:05:24,4,D,Don't,2001
Kate Bush,Cloudbusting,Hounds Of Love,2023-12-11 14:09:42,5,C,Cloudbusting,1978
Björk,Human Behavior,Debut,2023-12-11 14:14:45,4,H,Human,1993
Pat Benatar,Heartbreaker,In The Heat Of The Night,2023-12-11 14:19:35,5,H,Heartbreaker,1979
The Carpenters,Superstar,Carpenters,2023-12-11 14:25:00,3,S,Superstar,1971
Adele,Hello,25,2023-12-11 14:28:45,4,H,Hello,2012
Dolly Parton,9 To 5,9 to 5 and Odd Jobs,2023-12-11 14:33:33,2,9,9,1980
Adele,Make You Feel My Love,19,2023-12-11 14:36:01,4,M,Make,2007
Sinéad O'Connor,Troy,The Lion And The Cobra,2023-12-11 14:40:41,6,T,Troy,1987
"10,000 Maniacs",These Are Days,Our Time In Eden,2023-12-11 14:46:53,3,T,These,1990
Natalie Merchant,Wonder,Tigerlily,2023-12-11 14:50:30,5,W,Wonder,1995
Tedeschi Trucks Band,Midnight in Harlem,Revelator,2023-12-11 14:55:45,5,M,Midnight,2011
The Pretenders,My City Was Gone,Learning To Crawl,2023-12-11 15:01:08,6,M,My,1982
Diana Ross,Ain't No Mountain High Enough,Diana Ross,2023-12-11 15:07:23,3,A,Ain't,1970
Big Brother & The Holding Company,Ball And Chain,Cheap Thrills,2023-12-11 15:10:36,9,B,Ball,1968
The Pretenders,Message Of Love,Pretenders II,2023-12-11 15:19:43,3,M,Message,1981
The Pretenders,I'll Stand by You,Last of the Independents,2023-12-11 15:22:55,5,I,I'll,1994
Amy Winehouse,You Know I'm No Good,Back to Black,2023-12-11 15:27:59,3,Y,You,2006
Yeah Yeah Yeahs,Maps,Fever To Tell,2023-12-11 15:31:32,3,M,Maps,2003
Billie Holiday,God Bless The Child,Lady In Autumn/best Of Verve Disc 2,2023-12-11 15:35:00,6,G,God,1986
Joni Mitchell,Amelia,Hejira,2023-12-11 15:41:20,5,A,Amelia,1976
Helen Reddy,I Am Woman,Helen Reddy's Greatest Hits (and More),2023-12-11 15:47:13,3,I,I,1971
Fleetwood Mac,Gold Dust Woman,Rumours,2023-12-11 15:50:22,6,G,Gold,1977
Bikini Kill,Rebel Girl,Pussy Whipped,2023-12-11 15:57:09,3,R,Rebel,1992
Fiona Apple,Shadowboxer,Tidal,2023-12-11 16:00:22,5,S,Shadowboxer,1996
Barbra Streisand,People,People,2023-12-11 16:05:37,5,P,People,1964
Annie Lennox,No More I Love You's,Medusa,2023-12-11 16:11:06,4,N,No,1995
The Ronettes,Be My Baby,Presenting the Fabulous Ronettes Featuring Veronica,2023-12-11 16:15:55,1,B,Be,1963
