Artist,Title,Air Time_x,Play,Year,Letter,First Word,Duration,Air Time_y
The Souther-Hillman-Furay Band,Border Town,2017-11-30 12:00:00,0,1974,B,Border,4,2016-12-01 15:56:00
Bruce Springsteen,Born To Run,2017-11-30 12:34:00,0,1975,B,Born,6,2016-12-01 16:25:00
Grateful Dead,Box Of Rain,2017-11-30 12:48:00,0,1970,B,Box,7,2016-12-01 17:18:00
The Clash,Brand New Cadillac,2017-11-30 13:23:00,0,1979,B,Brand,2,2016-12-01 17:48:00
Melanie,Brand New Key,2017-11-30 13:25:00,0,1971,B,Brand,3,2016-12-01 17:57:00
Gram Parsons,Brass Buttons,2017-11-30 13:31:00,0,1974,B,Brass,4,2016-12-01 18:04:00
Tom Petty & The Heartbreakers,Breakdown,2017-11-30 13:54:00,0,1976,B,Breakdown,3,2016-12-01 18:19:00
Supertramp,Breakfast In America,2017-11-30 13:57:00,0,1979,B,Breakfast,3,2016-12-01 18:23:00
David Bowie,Breaking Glass,2017-11-30 14:00:00,0,1977,B,Breaking,2,2016-12-01 18:29:00
The Commodores,Brick House,2017-11-30 14:13:00,0,1977,B,Brick,4,2016-12-01 18:56:00
Van Morrison,Bright Side Of The Road,2017-11-30 14:47:00,0,1979,B,Bright,3,2016-12-01 19:11:00
Marianne Faithfull,Broken English,2017-11-30 15:07:00,0,1979,B,Broken,7,2016-12-01 19:52:00
Stories,Brother Louie,2017-11-30 15:33:00,0,1973,B,Brother,4,2016-12-01 20:04:00
The Rolling Stones,Brown Sugar,2017-11-30 15:46:00,0,1971,B,Brown,3,2016-12-01 20:14:00
John Prine,Bruised Orange,2017-11-30 15:49:00,0,1978,B,Bruised,7,2016-12-01 20:18:00
Bob Marley & The Wailers,Buffalo Soldier,2017-11-30 16:00:00,0,0,B,Buffalo,5,2016-12-01 20:42:00
Jethro Tull,Bungle In The Jungle,2017-11-30 16:15:00,0,1974,B,Bungle,3,2016-12-01 21:11:00
Elton John,Burn Down The Mission,2017-11-30 16:22:00,0,1971,B,Burn,9,2016-12-01 21:14:00
Elvis Presley,Burning Love,2017-11-30 16:45:00,0,1973,B,Burning,7,2016-12-01 21:33:00
The Cars,Bye Bye Love,2017-11-30 17:21:00,0,1978,B,Bye,4,2016-12-01 22:12:00
Plastic Bertrand,Ca Plane Pour Moi,2017-11-30 17:29:00,0,1977,C,Ca,3,2016-12-01 22:19:00
Taj Mahal,Cakewalk Into Town,2017-11-30 17:37:00,0,1972,C,Cakewalk,2,2016-12-01 22:30:00
B. B. King,Caldonia,2017-11-30 17:39:00,0,1973,C,Caldonia,4,2016-12-01 22:33:00
Joni Mitchell,California,2017-11-30 17:46:00,0,1971,C,California,4,2016-12-01 22:56:00
Dickey Betts & Great Southern,California Blues,2017-11-30 17:55:00,0,1977,C,California,5,2016-12-01 23:04:00
Cheap Trick,California Man,2017-11-30 18:00:00,0,1978,C,California,4,2016-12-01 23:13:00
