Artist,Title,Album,Air Time,Letter,First Word,Duration
Wilco,Box Full Of Letters,A.M.,2022-12-02 00:21:40,B,Box,3
Green Day,Brain Stew,Insomniac,2022-12-02 00:25:28,B,Brain,7
Sebadoh,Brand New Love,Smash Your Head on the Punk Rock,2022-12-02 00:32:46,B,Brand,4
Black Uhuru,Brand New World,Strongg,2022-12-02 00:37:18,B,Brand,10
Tears For Fears,Break It Down Again,Elemental,2022-12-02 00:47:33,B,Break,4
Buzz Zeemer,Break My Heart,Play Thing,2022-12-02 00:52:03,B,Break,4
Method Man,Break Up 2 Make Ups,Tical 2000: Judgement Day,2022-12-02 00:56:03,B,Break,4
Natalie Merchant,Break Your Heart,Ophelia,2022-12-02 01:00:28,B,Break,4
Mariah Carey,Breakdown,Butterfly,2022-12-02 01:05:08,B,Breakdown,4
Deep Blue Something,Breakfast At Tiffany's,11th Song & Home,2022-12-02 01:09:48,B,Breakfast,4
Red Hot Chili Peppers,Breaking The Girl,Blood Sugar Sex Magik,2022-12-02 01:14:35,B,Breaking,4
The Prodigy,Breathe,The Fat Of The Land,2022-12-02 01:19:21,B,Breathe,5
Q-Tip,Breathe And Stop,Amplified,2022-12-02 01:25:06,B,Breathe,4
Nirvana,Breed,Nevermind,2022-12-02 01:29:57,B,Breed,2
Barenaked Ladies,Brian Wilson,Gordon,2022-12-02 01:32:56,B,Brian,4
Ben Folds Five,Brick,"Whatever And Ever, Amen",2022-12-02 01:37:44,B,Brick,4
Cornershop,Brimful of Asha,When I Was Born For The 7th Time,2022-12-02 01:42:37,B,Brimful,5
Method Man,Bring The Pain,Tical.,2022-12-02 01:47:45,B,Bring,3
Bob Dylan,Broke Down Engine,World Gone Wrong,2022-12-02 01:50:51,B,Broke,3
Big Head Todd & The Monsters,Broken Hearted Savior,Sister Sweetly,2022-12-02 01:54:45,B,Broken,4
Public Enemy,Brothers Gonna Work It Out,Fear Of A Black Planet,2022-12-02 01:59:31,B,Brothers,5
D'Angelo,Brown Sugar,Brown Sugar,2022-12-02 02:04:34,B,Brown,4
Babes in Toyland,Bruise Violet,Fontanelle,2022-12-02 02:08:52,B,Bruise,3
Weezer,Buddy Holly,Weezer,2022-12-02 02:12:20,B,Buddy,2
Neneh Cherry,Buddy X,Homebrew,2022-12-02 02:14:58,B,Buddy,4
Morphine,Buena,Cure For Pain,2022-12-02 02:19:12,B,Buena,3
A Tribe Called Quest,Buggin' Out,The Low End Theory,2022-12-02 02:23:01,B,Buggin',3
Sarah McLachlan,Building A Mystery,Surfacing,2022-12-02 02:26:35,B,Building,4
Sonic Youth,Bull In The Heather,"Experimental Jet Set, Trash And No Star",2022-12-02 02:30:47,B,Bull,3
Guided By Voices,Bulldog Skin,Mag Earwhig!,2022-12-02 02:34:23,B,Bulldog,2
Smashing Pumpkins,Bullett With Butterfly Wings,Mellon Colloie and the Infinite Sadness,2022-12-02 02:37:20,B,Bullett,4
Rage Against The Machine,Bulls on Parade,Evil Empire,2022-12-02 02:41:48,B,Bulls,10
Ben Harper,Burn One Down,Fight For Your Mind,2022-12-02 02:51:57,B,Burn,3
Tom Jones,Burning Down The House,Reload,2022-12-02 02:55:31,B,Burning,4
Primal Scream,Burning Wheel,Vanishing Point,2022-12-02 02:59:31,B,Burning,6
October Project,Bury My Lovely,October Project,2022-12-02 03:06:28,B,Bury,4
Old 97's,Busted Afternoon,Fight Songs,2022-12-02 03:10:29,B,Busted,7
Public Enemy,By The Time I Get To Arizona,Apocalypse 91...The Enemy Strikes Black,2022-12-02 03:18:05,B,By,4
Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers),2022-12-02 03:22:31,C,C,4
PJ Harvey,C'mon Billy,To Bring You My Love,2022-12-02 03:27:03,C,C'mon,2
Luna,California (All The Way),Bewitched,2022-12-02 03:29:48,C,California,4
2 Pac,California Love,All Eyez on Me,2022-12-02 03:34:14,C,California,4
Billy Bragg & Wilco,California Stars,Mermaid Avenue,2022-12-02 03:38:31,C,California,3
Red Hot Chili Peppers,Californication,Californication,2022-12-02 03:42:17,C,Californication,5
World Party,Call Me Up,Egyptology,2022-12-02 03:47:40,C,Call,3
Television,Call Mr. Lee,Television,2022-12-02 03:50:58,C,Call,4
Jane Siberry,Calling All Angels,When I Was A Boy,2022-12-02 03:55:05,C,Calling,5
Southern Culture On The Skids,Camel Walk,Dirt Track Date,2022-12-02 04:00:51,C,Camel,6
American Music Club,Can You Help Me?,San Francisco,2022-12-02 04:07:45,C,Can,3
The Sundays,Can't Be Sure,"Reading, Writing And Arithmetic",2022-12-02 04:11:23,C,Can't,3
Chris Cornell,Can't Change Me,Euphoria Morning,2022-12-02 04:14:42,C,Can't,7
Chris Isaak,Can't Do A Thing (To Stop Me),San Francisco Days,2022-12-02 04:22:24,C,Can't,3
Jim Lauderdale,Can't Find Mary,Pretty Close To The Truth,2022-12-02 04:25:59,C,Can't,3
Lucinda Williams,Can't Let Go,Car Wheels On A Gravel Road,2022-12-02 04:29:43,C,Can't,4
Paul Simon,Can't Run But,Rhythm Of The Saints,2022-12-02 04:33:51,C,Can't,5
Wilco,Can't Stand It,Summerteeth,2022-12-02 04:38:52,C,Can't,3
Los Lobos,Can't Stop The Rain,Colossal Head,2022-12-02 04:42:29,C,Can't,3
Lauryn Hill,Can't Take My Eyes Off Of You,The Miseducation Of Lauryn Hill,2022-12-02 04:45:57,C,Can't,5
Public Enemy,Can't Truss It,Apocalypse 91...The Enemy Strikes Black,2022-12-02 04:51:11,C,Can't,9
Morphine,Candy,Cure For Pain,2022-12-02 05:00:41,C,Candy,3
Iggy Pop,Candy (ft. Kate Pierson),Brick By Brick,2022-12-02 05:03:49,C,Candy,4
"10,000 Maniacs",Candy Everybody Wants,Our Time In Eden,2022-12-02 05:07:59,C,Candy,4
Soul 4 Real,Candy Rain,Candy Rain,2022-12-02 05:12:08,C,Candy,4
Jamiroquai,Canned Heat,Synkronized,2022-12-02 05:16:27,C,Canned,3
The Breeders,Cannonball,Last Splash,2022-12-02 05:20:13,C,Cannonball,4
Us 3,Cantaloop,Hand On The Torch,2022-12-02 05:24:30,C,Cantaloop,4
Built To Spill,Car,There's Nothing Wrong With Love,2022-12-02 05:29:02,C,Car,3
Elastica,Car Song,Elastica,2022-12-02 05:32:06,C,Car,2
Lucinda Williams,Car Wheels On A Gravel Road,Car Wheels On A Gravel Road,2022-12-02 05:34:55,C,Car,4
Enya,Caribbean Blue,Shepherd Moons,2022-12-02 05:39:32,C,Caribbean,4
Natalie Merchant,Carnival,Tigerlily,2022-12-02 05:43:34,C,Carnival,5
Leaders Of The New School,Case Of The P.T.A.,A Future Without A Past...,2022-12-02 05:49:20,C,Case,4
Wilco,Casino Queen,A.M.,2022-12-02 05:53:52,C,Casino,2
Suzanne Vega,Cassidy,Deadicated,2022-12-02 05:56:34,C,Cassidy,4
"Jump, Little Children",Cathedrals,MAGAZINE,2022-12-02 06:00:47,C,Cathedrals,7
John Wesley Harding,Cathy's New Clown,Here Comes The Groom,2022-12-02 06:08:34,C,Cathy's,4
Tori Amos,Caught A Lite Sneeze,Boys For Pele,2022-12-02 06:13:15,C,Caught,4
Supergrass,Caught By The Fuzz,I Should Coco,2022-12-02 06:17:43,C,Caught,4
Hole,Celebrity Skin,Celebrity Skin,2022-12-02 06:21:58,C,Celebrity,2
Beth Orton,Central Reservation,Central Reservation,2022-12-02 06:24:43,C,Central,4
Patty Larkin,Chained To These Lovin' Arms,Tango,2022-12-02 06:29:25,C,Chained,4
Phish,Chalk Dust Torture,A Picture Of Nectar,2022-12-02 06:34:15,C,Chalk,4
Oasis,Champagne Supernova,(What's The Story) Morning Glory?,2022-12-02 06:38:54,C,Champagne,7
Rosanne Cash,Change Partners,The Wheel,2022-12-02 06:46:18,C,Change,5
Tom Petty & The Heartbreakers,Changed The Locks,She's The One (soundtrack),2022-12-02 06:52:15,C,Changed,4
Sugar,Changes,Copper Blue,2022-12-02 06:57:07,C,Changes,5
2 Pac,Changes,Changes,2022-12-02 07:02:22,C,Changes,4
Blur,Charmless Man,The Great Escape,2022-12-02 07:07:01,C,Charmless,4
A Tribe Called Quest,Check The Rhime,The Low End Theory,2022-12-02 07:11:54,C,Check,3
Cocteau Twins,Cherry-Coloured Funk,Heaven Or Las Vegas,2022-12-02 07:15:30,C,Cherry-Coloured,3
Smashing Pumpkins,Cherub Rock,Siamese Dream,2022-12-02 07:18:52,C,Cherub,9
Lords Of The Underground,Chief Rocka,Here Come The Lords,2022-12-02 07:28:44,C,Chief,3
John Lee Hooker,Chill Out,Chill Out,2022-12-02 07:32:43,C,Chill,4
Aimee Mann,Choice In The Matter,I'm With Stupid,2022-12-02 07:37:24,C,Choice,9
Lyle Lovett,Church,Joshua Judges Ruth,2022-12-02 07:46:42,C,Church,6
Oasis,Cigarettes And Alcohol,Definitely Maybe,2022-12-02 07:52:47,C,Cigarettes,7
Liz Phair,Cinco De Mayo,Whip-Smart,2022-12-02 08:00:16,C,Cinco,3
