Artist,Count
Jimmy Castor Bunch,1
Gil Scott-Heron,1
Ann Peebles,1
"Bobby ""Blue"" Bland",1
Jean-Luc Ponty,1
Iron City Houserockers,1
Joe Ely,1
Stanley Clarke,1
Bobby Hutcherson,1
Steve Harley & Cockney Rebel,1
John Stewart,1
Wayne Shorter,1
Graham Parker & The Rumor,1
Pezband,1
Grant Green,1
Silverhead,1
Frankie Miller,1
Terry Jacks,1
