Title,Artist,Letter,Year
Happiness Is Just Around The Bend,Brian Auger's Oblivion Express,H,0
Happy,The Rolling Stones,H,1972
Hard Times,Boz Scaggs,H,1977
Hasten Down The Wind,Warren Zevon,H,1976
Have A Cigar,Pink Floyd,H,1975
Have You Seen Her,The Chi-Lites,H,1971
He's Mistra Know It All,Stevie Wonder,H,1973
Heart Like A Wheel,Kate & Anna McGarrigle,H,1975
Heart Of Glass,Blondie,H,0
Heart Of Gold,Neil Young,H,1972
Heart Of The Sunrise,Yes,H,1971
Heartache Tonight,The Eagles,H,1979
Heartbreaker,Grand Funk Railroad,H,0
Heat Treatment,Graham Parker,H,0
Heaven Is A Zillion Light Years Away,Stevie Wonder,H,1974
Hejira,Joni Mitchell,H,1976
Helen Wheels,Paul McCartney & Wings,H,1973
Hello In There,John Prine,H,1971
Hello It's Me,Todd Rundgren,H,1975
Hello Old Friend,Eric Clapton,H,1976
Help Me,Joni Mitchell,H,1974
Help Me Thru The Night,Joe Walsh,H,1974
Helpless,Crosby Stills Nash & Young,H,1970
Here Come Those Tears Again,Jackson Browne,H,1976
Here Comes My Girl,Tom Petty & The Heartbreakers,H,1979
Here Comes The Sun,Richie Havens,H,0
Here I Am (Come And Take Me),Al Green,H,1972
Heroes,David Bowie,H,1977
Heroes Are Hard To Find,Fleetwood Mac,H,1974
"Hey Hey, My My (Into the Black)",Neil Young,H,0
Hey Negrita,The Rolling Stones,H,1976
Hey Tonight,Creedence Clearwater Revival,H,1970
Hey You,Pink Floyd,H,1979
Hi Hi Hi,Paul McCartney & Wings,H,0
High Time We Went,Joe Cocker,H,0
Higher Ground,Stevie Wonder,H,1973
Hissing Of Summer Lawns,Joni Mitchell,H,1975
Hit Me With Your Rhythm Stick,Ian Dury & The Blockheads,H,0
Hitchin' A Ride,Vanity Fare,H,0
Hocus Pocus,Focus,H,0
Hoedown,Emerson Lake & Palmer,H,1972
Hold On,Ian Gomm,H,1979
Hold On,Steve Winwood,H,1977
Hold Your Head Up,Argent,H,1972
Holdin' On To Yesterday,Ambrosia,H,1975
Holiday Inn,Elton John,H,1971
Hollywood,Boz Scaggs,H,1977
Home,Karla Bonoff,H,1977
Homegrown,Neil Young,H,0
Honaloochie Boogie,Mott The Hoople,H,0
Hong Kong Garden,Siouxsie & The Banshees,H,1978
Honky Cat,Elton John,H,1972
Hope You're Feeling Better,Santana,H,0
Hot Pants,James Brown,H,1971
Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen,H,0
Hot Stuff,The Rolling Stones,H,1976
Hotel California,The Eagles,H,1976
Houses Of The Holy,Led Zeppelin,H,1975
How Can You Mend A Broken Heart,Al Green,H,1972
