Title,Artist,Letter
To Know You Is To Love You,Syreeta,T
To Play Some Music,Journey,T
"Today Your Love, Tomorrow The World",The Ramones,T
"Today Your Love, Tomorrow The World",The Ramones,T
Told You For The Last Time,Eric Clapton,T
Tom Traubert's Blues,Tom Waits,T
Tommy Gun,The Clash,T
Tomorrow,Wings,T
Tomorrow Night,Shoes,T
Tonight,The Raspberries,T
Tonight's The Night,Neil Young,T
Tonight's The Night,Rod Stewart,T
Too Bad,Faces,T
Too High,Stevie Wonder,T
Too Hot,The Specials,T
Too Hot Ta Trot,The Commodores,T
Too Hot To Handle,Heatwave,T
Too Hot To Stop,The Bar-Kays,T
Too Late,Shoes,T
Too Late To Turn Back Now,Cornelious Brothers & Sister Rose,T
Too Long At The Fair,Bonnie Raitt,T
Too Many People,Paul McCartney,T
Too Much Ain't Enough,Tom Petty & The Heartbreakers,T
Too Much Heaven,Bee Gees,T
Too Much Of Nothing,Bob Dylan And The Band,T
Too Rolling Stoned,Robin Trower,T
Took The Car,John Mayall,T
Top Of The World,The Carpenters,T
Tore Up Over You,Jerry Garcia,T
Torn And Frayed,The Rolling Stones,T
Torn Between Two Lovers,Mary MacGregor,T
Tossin' And Turnin',Bunny Sigler,T
Total Destruction To Your Mind,Swamp Dogg,T
Touch Me In The Morning,Diana Ross,T
Tough Mama,Bob Dylan,T
Traction In The Rain,David Crosby,T
Traffic Jam,James Taylor,T
Tragedy,Bee Gees,T
Train 'Round The Bend,The Velvet Underground,T
Train In Vain,The Clash,T
Train Kept A Rollin',Aerosmith,T
Train Leaves Here This Morning,The Eagles,T
Trampled Under Foot,Led Zeppelin,T
Trans-Europe Express,Kraftwerk,T
Transmission,Joy Division,T
Trash,New York Dolls,T
Travelin' Band,Creedence Clearwater Revival,T
Travelin' Shoes,Elvin Bishop,T
Treat Her Like A Lady,Cornelious Brothers & Sister Rose,T
Trenchtown Rock,Bob Marley & The Wailers,T
Trick Of The Light,The Who,T
Trilogy (Lovin' Me/To Make A Woman Feel Wanted/Peace of Mind),Loggins & Messina,T
Tropical Hot Dog Night,Captain Beefheart,T
Trouble,Little Feat,T
Trouble (With A Capital T),Horslips,T
Trouble Boys,Dave Edmunds,T
Trouble Child/Twisted,Joni Mitchell,T
Truckin',Grateful Dead,T
True Blue,Rod Stewart,T
True Fine Love,Steve Miller Band,T
True Loves Leaves No Traces,Leonard Cohen,T
Try And Love Again,The Eagles,T
Try It One More Time,The Allman Brothers,T
Tryin',The Eagles,T
Tryin' To Love Two,William Bell,T
Tsegulani,Rikki Ililonga & Musi-O-Tunya,T
Tubular Bells,Mike Oldfield,T
Tuesday's Gone,Lynyrd Skynyrd,T
Tulsa Time,Eric Clapton,T
Tumbling Dice,Linda Ronstadt,T
Tumbling Dice,The Rolling Stones,T
Tupelo Honey,Van Morrison,T
Turn Back The Hands Of Time,Tyrone Davis,T
Turn Off The Lights,Teddy Pendergrass,T
Turn On Your Radio,Harry Nilsson,T
Turn The Page,Bob Seger & The Silver Bullet Band,T
Turn To Stone,Electric Light Orchestra,T
Turn To Stone,Joe Walsh,T
Turn Up The Radio,The Rockets,T
Turn Your Lights Down Low,Bob Marley & The Wailers,T
Turn Your Radio On,John Hartford,T
Turnin' To You,.38 Special,T
Tush,ZZ Top,T
Tusk,Fleetwood Mac,T
TV Is King,The Tubes,T
TVC15,David Bowie,T
Twice Removed From Yesterday,Robin Trower,T
Twice Removed From Yesterday,Robin Trower,T
Twilight Alehouse,Genesis,T
Two Divided By Love,The Grass Roots,T
Two Of Us,The Beatles,T
Two Out Of Three Ain't Bad,Meatloaf,T
Two Sevens Clash,Culture,T
Two Tickets To Paradise,Eddie Money,T
Two Trains,Little Feat,T
Typical Girls,The Slits,T
