Title,Artist,Year
Buster Voodoo,Rodrigo Y Gabriela,2009
Busting Up A Starbucks,Mike Doughty,2004
But Anyway,Blues Traveler,1990
By The Time I Get To Phoenix,Glen Campbell,1967
Bye Bye Love,The Cars,1978
Bye Bye Love,The Everly Brothers,1957
Ca Plane Pour Moi,Plastic Bertrand,1977
Cab,Train,2005
Cadillac Ranch,Bruce Springsteen,1980
Cakewalk Into Town,Taj Mahal,1972
Calgary,Bon Iver,2011
California,Delta Spirit,2012
California,John Mayall,1969
California,Joni Mitchell,1971
California (All The Way),Luna,1994
California Blues,Dickey Betts & Great Southern,1977
California Girls,The Beach Boys,1965
California Man,Cheap Trick,1978
California Stars,Billy Bragg & Wilco,1998
Californication,Red Hot Chili Peppers,1999
Call Me,St. Paul & The Broken Bones,2014
Call Me the Breeze,Lynyrd Skynyrd,1974
Call Me Up In Dreamland,Van Morrison,1970
Call Off Your Dogs,Lake Street Dive,2016
Calling All Angels,Jane Siberry,1991
Calling All Angels,Train,2003
Calling Me Names,Good Old War,2011
Camel Walk,Southern Culture On The Skids,1995
Camellia,Hall & Oates,1975
Can I Change My Mind,Tyrone Davis,1969
Can I Get A Witness,Marvin Gaye,1963
Can We Still Be Friends,Todd Rundgren,1978
Can You Get to That,Funkadelic,1971
Can You Get to That,Mavis Staples,2013
Candy,Iggy Pop,1990
Candy,Morphine,1993
Candy Everybody Wants,"10,000 Maniacs",1990
Candy's Room,Bruce Springsteen,1978
Cannonball,Damien Rice,2002
Cannonball,The Breeders,1993
Cantaloop,Us 3,1999
Can't Buy Me Love,The Beatles,1964
Can't Find Mary,Jim Lauderdale,1994
Can't Find My Way Home,Blind Faith,1969
Can't Find My Way Home,Alison Krauss,2003
Can't Get Enough Of Your Love,Barry White,1988
Can't Get It Out Of My Head,Electric Light Orchestra,1985
Can't Get Used To Losing You,The English Beat,1980
Can't Hardly Wait,The Replacements,1985
Can't Help Falling In Love,Elvis Presley,1970
Can't Let Go,Lucinda Williams,1998
Can't Stand It,Wilco,1999
Can't Stand Losing You,The Police,1978
Can't Stop The Rain,Los Lobos,1996
Can't You See,Marshall Tucker Band,1973
Cape Cod Kwassa Kwassa,Vampire Weekend,2007
Capsized,Andrew Bird,2016
Car Jamming,The Clash,1982
Car On A Hill,Joni Mitchell,1974
Car Wheels On A Gravel Road,Lucinda Williams,1998
Caravan,Van Morrison,1970
Carey,Joni Mitchell,1971
Caribbean Blue,Enya,1991
Carmelita,Adam Duritz,2000
Carmelita,Warren Zevon,1976
Carnival,Natalie Merchant,1995
Carol,Chuck Berry,1958
Carolina In My Mind,James Taylor,1968
Caroline,Jefferson Starship,1974
"Caroline, No",The Beach Boys,1966
Carouselambra,Led Zeppelin,1979
Carpet Of The Sun,Renaissance,1973
Carpetbaggers,Jenny Lewis,2008
Carrie-Anne,The Hollies,1967
Carried Away,Passion Pit,2012
Carry Me,Crosby & Nash,1975
